Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Judicial,OLIVIA AGUIRRE BONILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OLIVIA_AGUIRRE_BONILLA_14.pdf
Poder Ejecutivo,REBECA STELLA ALADRO ECHEVERRIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/REBECA_STELLA_ALADRO_ECHEVERRIA_3.pdf
En Funciones,LENIA BATRES GUADARRAMA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LENIA_BATRES_GUADARRAMA_4103.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",JAZMIN BONILLA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAZMIN_BONILLA_GARCIA_4.pdf
Poder Ejecutivo,MARISOL CASTAÑEDA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARISOL_CASTAÑEDA_PEREZ_5.pdf
Poder Ejecutivo,SELENE CRUZ ALCALA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SELENE_CRUZ_ALCALA_8.pdf
Poder Ejecutivo,SILVIA ESCUDERO MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SILVIA_ESCUDERO_MENDOZA_15.pdf
En Funciones,YASMIN ESQUIVEL MOSSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YASMIN_ESQUIVEL_MOSSA_4104.pdf
Poder Ejecutivo,FABIANA ESTRADA TENA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FABIANA_ESTRADA_TENA_16.pdf
Poder Legislativo,ESTELA FUENTES JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ESTELA_FUENTES_JIMENEZ_20.pdf
Poder Legislativo,IRMA GUADALUPE GARCIA MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRMA_GUADALUPE_GARCIA_MENDOZA_21.pdf
Poder Judicial,PAULA MARIA GARCIA VILLEGAS SANCHEZ CORDERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAULA_MARIA_GARCIA_VILLEGAS_SANCHEZ_CORDERO_22.pdf
Poder Legislativo,ALMA DELIA GONZALEZ CENTENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_DELIA_GONZALEZ_CENTENO_23.pdf
Poder Judicial,ROSA ELENA GONZALEZ TIRADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSA_ELENA_GONZALEZ_TIRADO_24.pdf
Poder Ejecutivo,MONICA ARCELIA GÜICHO GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_ARCELIA_GÜICHO_GONZALEZ_17.pdf
"Poder Ejecutivo, Poder Legislativo",SARA IRENE HERRERIAS GUERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SARA_IRENE_HERRERIAS_GUERRA_26.pdf
"Poder Ejecutivo, Poder Judicial",ANA MARIA IBARRA OLGUIN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_MARIA_IBARRA_OLGUIN_18.pdf
Poder Judicial,LUTGARDA MADRIGAL VALDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUTGARDA_MADRIGAL_VALDEZ_29.pdf
"Poder Judicial, Poder Legislativo",DORA ALICIA MARTINEZ VALERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DORA_ALICIA_MARTINEZ_VALERO_30.pdf
Poder Judicial,MARISELA MORALES IBAÑEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARISELA_MORALES_IBAÑEZ_4102.pdf
Poder Judicial,MAGDA ZULEMA MOSRI GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAGDA_ZULEMA_MOSRI_GUTIERREZ_31.pdf
En Funciones,LORETTA ORTIZ AHLF,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LORETTA_ORTIZ_AHLF_4105.pdf
