Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
"Poder Ejecutivo, Poder Legislativo",CATALINA ALVAREZ RAMALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CATALINA_ALVAREZ_RAMALES_52151.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",BELEM BOLAÑOS MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BELEM_BOLAÑOS_MARTINEZ_52287.pdf
"Poder Judicial, Poder Legislativo",ANETTE MARIA CAMARILLO GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANETTE_MARIA_CAMARILLO_GONZALEZ_52845.pdf
"Poder Ejecutivo, Poder Judicial",MARA OFELIA CHAVEZ ORTEGON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARA_OFELIA_CHAVEZ_ORTEGON_52759.pdf
Poder Legislativo,ANA CECILIA CISNEROS MORENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_CECILIA_CISNEROS_MORENO_52954.pdf
En Funciones,CARMINA CORTES RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARMINA_CORTES_RODRIGUEZ_52915.pdf
"Poder Judicial, Poder Legislativo",MARTHA ESPINOZA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTHA_ESPINOZA_MARTINEZ_53103.pdf
Poder Ejecutivo,ROSARIO FLORES RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSARIO_FLORES_RAMIREZ_53217.pdf
Poder Ejecutivo,JUNO HERA ANDROMEDA GALINDO JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUNO_HERA_ANDROMEDA_GALINDO_JUAREZ_53287.pdf
Poder Judicial,LILIAN SARAI HERRERA MEDINA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LILIAN_SARAI_HERRERA_MEDINA_53279.pdf
Poder Judicial,EDELENI MAYLEN JIMENEZ DOMINGUEZ,
"Poder Ejecutivo, Poder Judicial",MARTHA FABIOLA KING TAMAYO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTHA_FABIOLA_KING_TAMAYO_53416.pdf
Poder Judicial,ALEJANDRA MARTINEZ GANDARA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRA_MARTINEZ_GANDARA_54273.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",ZAIRA DENISSE ORTEGA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ZAIRA_DENISSE_ORTEGA_MARTINEZ_54192.pdf
"En Funciones, Poder Legislativo",CLAUDIA PATRICIA PERAZA ESPINOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_PATRICIA_PERAZA_ESPINOZA_54679.pdf
En Funciones,EMMA RIVERA CONTRERAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EMMA_RIVERA_CONTRERAS_54647.pdf
Poder Judicial,MIRIAM SUAREZ PADILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIRIAM_SUAREZ_PADILLA_55254.pdf
Poder Legislativo,SOLEDAD TINOCO LARA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SOLEDAD_TINOCO_LARA_55522.pdf
"Poder Ejecutivo, Poder Judicial",ELIZABETH TREJO GALAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELIZABETH_TREJO_GALAN_55338.pdf
Poder Legislativo,MARIA VALDES LEAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_VALDES_LEAL_55041.pdf
Poder Judicial,BRUNO ISAAC BAUTISTA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BRUNO_ISAAC_BAUTISTA_HERNANDEZ_52429.pdf
"Poder Ejecutivo, Poder Judicial",WERTHER BUSTAMANTE SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/WERTHER_BUSTAMANTE_SANCHEZ_52330.pdf
Poder Judicial,MARIANO DAVALOS DE LOS RIOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANO_DAVALOS_DE_LOS_RIOS_52552.pdf
Poder Legislativo,JAIME MARIANO DEL RIO NAVARRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAIME_MARIANO_DEL_RIO_NAVARRO_52735.pdf
En Funciones,ROBERTO FRAGA JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_FRAGA_JIMENEZ_53295.pdf
Poder Ejecutivo,JOSE SEBASTIAN GOMEZ SAMANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_SEBASTIAN_GOMEZ_SAMANO_53087.pdf
Poder Ejecutivo,RODRIGO GONZALEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RODRIGO_GONZALEZ_GARCIA_53409.pdf
Poder Ejecutivo,MIRSHA RODRIGO LEON CARMONA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIRSHA_RODRIGO_LEON_CARMONA_53956.pdf
En Funciones,CARLOS LOPEZ CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_LOPEZ_CRUZ_54167.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",CARLOS ADRIAN LOPEZ SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_ADRIAN_LOPEZ_SANCHEZ_54133.pdf
Poder Judicial,JUAN LUCIO LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_LUCIO_LEON_53826.pdf
Poder Legislativo,RAFAEL LUNA ALVISO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAFAEL_LUNA_ALVISO_53707.pdf
Poder Legislativo,LUIS ALBERTO MARTINEZ DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ALBERTO_MARTINEZ_DIAZ_54253.pdf
"En Funciones, Poder Legislativo",RICARDO MANUEL MARTINEZ ESTRADA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_MANUEL_MARTINEZ_ESTRADA_53621.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",EVARISTO EMMANUEL MARTINEZ GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EVARISTO_EMMANUEL_MARTINEZ_GONZALEZ_53688.pdf
Poder Judicial,ALFREDO NARVAEZ MEDECIGO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALFREDO_NARVAEZ_MEDECIGO_54318.pdf
Poder Legislativo,PABLO CESAR PEREZ NEGRETE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PABLO_CESAR_PEREZ_NEGRETE_54466.pdf
Poder Judicial,JUAN CARLOS RAMIREZ GOMORA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_CARLOS_RAMIREZ_GOMORA_54431.pdf
Poder Ejecutivo,JORGE LUIS RAMIREZ SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_LUIS_RAMIREZ_SANCHEZ_54933.pdf
Poder Judicial,EDGAR AGUSTIN RODRIGUEZ BEIZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_AGUSTIN_RODRIGUEZ_BEIZA_54404.pdf
Poder Ejecutivo,JOSE LUIS RUIZ VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_LUIS_RUIZ_VAZQUEZ_54908.pdf
Poder Legislativo,JULIO ANTONIO SANCHEZ PEDRERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JULIO_ANTONIO_SANCHEZ_PEDRERO_55337.pdf
