Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Ejecutivo,JOSE DAVID VALDERRAMA GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_DAVID_VALDERRAMA_GUTIERREZ_55040.pdf
"En Funciones, Poder Legislativo",PATRICIO LEOPOLDO VARGAS ALARCON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PATRICIO_LEOPOLDO_VARGAS_ALARCON_55386.pdf
Poder Ejecutivo,MARCO ANTONIO ZAPIEN GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCO_ANTONIO_ZAPIEN_GARCIA_54780.pdf
Poder Ejecutivo,PILAR MACIEL ALDANA HUERTAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PILAR_MACIEL_ALDANA_HUERTAS_52144.pdf
Poder Ejecutivo,LLUVIA JASMIN AVILA VILLEGAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LLUVIA_JASMIN_AVILA_VILLEGAS_52833.pdf
Poder Legislativo,ELIZABETH CARINA BARAJAS ESCOBEDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELIZABETH_CARINA_BARAJAS_ESCOBEDO_52399.pdf
"En Funciones, Poder Legislativo",SANDRA VERONICA CAMACHO CARDENAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_VERONICA_CAMACHO_CARDENAS_52610.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",MARIA EUGENIA CANCHOLA VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_EUGENIA_CANCHOLA_VAZQUEZ_52566.pdf
Poder Ejecutivo,MARIA DE LA SOLEDAD GARCIA MERINO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DE_LA_SOLEDAD_GARCIA_MERINO_53273.pdf
Poder Judicial,EDNA RUTH LUNA RICO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDNA_RUTH_LUNA_RICO_53710.pdf
Poder Legislativo,ROSA ELDA MARTINEZ RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSA_ELDA_MARTINEZ_RODRIGUEZ_54298.pdf
Poder Ejecutivo,GUADALUPE MONTIEL CUEVAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUADALUPE_MONTIEL_CUEVAS_54310.pdf
Poder Ejecutivo,IVONNE PANICO BRESSANT,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IVONNE_PANICO_BRESSANT_54481.pdf
Poder Legislativo,DALEL PEDRAZA VELAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DALEL_PEDRAZA_VELAZQUEZ_54571.pdf
Poder Ejecutivo,LILIAN AURORA PEREZ ORNELAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LILIAN_AURORA_PEREZ_ORNELAS_54347.pdf
"Poder Judicial, Poder Legislativo",LAURA GABRIELA SERRANO DE LA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_GABRIELA_SERRANO_DE_LA_CRUZ_54902.pdf
Poder Ejecutivo,SANDRA SOLIS CEBRERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_SOLIS_CEBRERO_55191.pdf
En Funciones,MARIA GABRIELA TORRES ARREOLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_GABRIELA_TORRES_ARREOLA_55064.pdf
Poder Legislativo,ALMA TANIA VITE TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_TANIA_VITE_TORRES_55374.pdf
"Poder Ejecutivo, Poder Legislativo",JOEL BLANNO CASTRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOEL_BLANNO_CASTRO_52282.pdf
"Poder Ejecutivo, Poder Legislativo",RAUL BOLAÑOS MOLINA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAUL_BOLAÑOS_MOLINA_52286.pdf
En Funciones,JOEL CARRANCO ZUÑIGA,
"Poder Judicial, Poder Legislativo",ANDRES SALVADOR DUARTE GOMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANDRES_SALVADOR_DUARTE_GOMEZ_53012.pdf
Poder Legislativo,JOSE WOODROW GARCIA MATA FRIAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_WOODROW_GARCIA_MATA_FRIAS_53108.pdf
"Poder Ejecutivo, Poder Legislativo",DIEGO ALBERTO GATICA NORIEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DIEGO_ALBERTO_GATICA_NORIEGA_53158.pdf
En Funciones,HORACIO ARMANDO HERNANDEZ OROZCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HORACIO_ARMANDO_HERNANDEZ_OROZCO_53764.pdf
Poder Judicial,RICARDO LAGUNA DOMINGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_LAGUNA_DOMINGUEZ_53515.pdf
"Poder Judicial, Poder Legislativo",GERSAIN LIMA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERSAIN_LIMA_MARTINEZ_54224.pdf
"Poder Ejecutivo, Poder Judicial",FANUEL MARTINEZ LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FANUEL_MARTINEZ_LOPEZ_53616.pdf
Poder Ejecutivo,CRISTIAN MARTINEZ MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CRISTIAN_MARTINEZ_MORALES_54699.pdf
Poder Judicial,JOAN FREDEN MENDOZA GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOAN_FREDEN_MENDOZA_GONZALEZ_54103.pdf
"Poder Ejecutivo, Poder Legislativo",LUIS ALBERTO MONROY ALVAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ALBERTO_MONROY_ALVAREZ_54236.pdf
En Funciones,ARTURO MORALES SERRANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARTURO_MORALES_SERRANO_53857.pdf
En Funciones,GASPAR PAULIN CARMONA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GASPAR_PAULIN_CARMONA_54645.pdf
Poder Legislativo,EZEQUIEL PINEDA NAVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EZEQUIEL_PINEDA_NAVA_54873.pdf
Poder Ejecutivo,JOSE ARTURO RAMIREZ BECERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ARTURO_RAMIREZ_BECERRA_55137.pdf
En Funciones,FERNANDO RANGEL RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDO_RANGEL_RAMIREZ_55258.pdf
"Poder Ejecutivo, Poder Judicial",ALEXIS RIVERO PONCE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEXIS_RIVERO_PONCE_54365.pdf
Poder Ejecutivo,FERNANDO SERRANO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDO_SERRANO_GARCIA_55044.pdf
"Poder Ejecutivo, Poder Legislativo",RAUL TELLEZ BLANCAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAUL_TELLEZ_BLANCAS_55192.pdf
Poder Ejecutivo,JOSE TREJO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_TREJO_MARTINEZ_55344.pdf
Poder Judicial,JUAN ENRIQUE UREÑA PERALTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_ENRIQUE_UREÑA_PERALTA_55122.pdf
Poder Ejecutivo,SEBASTIAN ADRIAN VALENCIA FLORES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SEBASTIAN_ADRIAN_VALENCIA_FLORES_55463.pdf
Poder Ejecutivo,KALEB HAIDAR YEMHA GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KALEB_HAIDAR_YEMHA_GUTIERREZ_55394.pdf
"Poder Judicial, Poder Legislativo",TANIA ALVAREZ ESCORZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/TANIA_ALVAREZ_ESCORZA_52150.pdf
Poder Ejecutivo,INES XOCHITL ARIAS BLANCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/INES_XOCHITL_ARIAS_BLANCO_52308.pdf
Poder Judicial,EMMA MAGNOLIA AYALA RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EMMA_MAGNOLIA_AYALA_RIVERA_52349.pdf
Poder Ejecutivo,LANDY GISELLE BRITO BERNAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LANDY_GISELLE_BRITO_BERNAL_52334.pdf
En Funciones,DESIREE CATANEO DAVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DESIREE_CATANEO_DAVILA_52712.pdf
Poder Judicial,EDITH COLIN ULLOA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDITH_COLIN_ULLOA_52960.pdf
Poder Ejecutivo,MAYDELI GALLARDO ROSADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAYDELI_GALLARDO_ROSADO_53289.pdf
Poder Judicial,JERALDYN GONSEN FLORES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JERALDYN_GONSEN_FLORES_53088.pdf
Poder Legislativo,MARIA NELLY DEL CONSUELO GUERRA ESPINOSA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_NELLY_DEL_CONSUELO_GUERRA_ESPINOSA_53593.pdf
Poder Ejecutivo,LIZZETH DEL CARMEN HERNANDEZ NAVARRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LIZZETH_DEL_CARMEN_HERNANDEZ_NAVARRO_54012.pdf
Poder Ejecutivo,MONICA LEON ROBLES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_LEON_ROBLES_53605.pdf
Poder Ejecutivo,PAMELA LOPEZ LANDA MUÑIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAMELA_LOPEZ_LANDA_MUÑIZ_53915.pdf
"Poder Ejecutivo, Poder Legislativo",ALEXANDRA NARETH MARQUINA LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEXANDRA_NARETH_MARQUINA_LOPEZ_54472.pdf
Poder Judicial,MARIANA MERINO COLLADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANA_MERINO_COLLADO_54118.pdf
"Poder Ejecutivo, Poder Legislativo",CINTHYA MIRANDA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CINTHYA_MIRANDA_CRUZ_53843.pdf
Poder Legislativo,SILVIA PELAEZ AVENDAÑO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SILVIA_PELAEZ_AVENDAÑO_54575.pdf
En Funciones,DALILA QUERO JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DALILA_QUERO_JUAREZ_54684.pdf
"Poder Ejecutivo, Poder Legislativo",KARLA LORENA SANCHEZ CORONEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KARLA_LORENA_SANCHEZ_CORONEL_54767.pdf
"Poder Ejecutivo, Poder Legislativo",ADRIANA BENILDE SANCHEZ ORTEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_BENILDE_SANCHEZ_ORTEGA_55150.pdf
Poder Ejecutivo,ALIBE SANTOS GAONA CHAGOYA,
Poder Legislativo,FERNANDA MARIA ADELA TALAVERA DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDA_MARIA_ADELA_TALAVERA_DIAZ_55478.pdf
"En Funciones, Poder Legislativo",OLGA LIDIA TREVIÑO BERRONES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OLGA_LIDIA_TREVIÑO_BERRONES_54998.pdf
Poder Judicial,ADOLFO ALMAZAN LARA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADOLFO_ALMAZAN_LARA_52354.pdf
Poder Judicial,LUIS ENRIQUE GARCIA DE LA MORA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ENRIQUE_GARCIA_DE_LA_MORA_53100.pdf
Poder Legislativo,JUAN SERGIO GAYOSSO VILLEGAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_SERGIO_GAYOSSO_VILLEGAS_53160.pdf
"Poder Ejecutivo, Poder Legislativo",ALEJANDRO HERNANDEZ GUERRERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRO_HERNANDEZ_GUERRERO_53474.pdf
En Funciones,RICARDO LOPEZ RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_LOPEZ_RODRIGUEZ_54169.pdf
Poder Ejecutivo,LUIS CARLOS MUÑOZ GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_CARLOS_MUÑOZ_GUTIERREZ_54087.pdf
Poder Judicial,ROBERTO NIÑO DE RIVERA RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_NIÑO_DE_RIVERA_RAMIREZ_54609.pdf
"Poder Ejecutivo, Poder Legislativo",SALVADOR OBREGON SANDOVAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SALVADOR_OBREGON_SANDOVAL_54488.pdf
Poder Ejecutivo,RICARDO OROPEZA BUENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_OROPEZA_BUENO_54248.pdf
Poder Judicial,RAUL EYDEN PENICHE CALDERON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAUL_EYDEN_PENICHE_CALDERON_54715.pdf
Poder Legislativo,MANUEL PERALTA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MANUEL_PERALTA_GARCIA_54678.pdf
Poder Legislativo,JOSE CARLOS RAMIREZ HUEZCA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_CARLOS_RAMIREZ_HUEZCA_54427.pdf
Poder Judicial,JOSE FRANCISCO REYNA OCHOA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_FRANCISCO_REYNA_OCHOA_54674.pdf
Poder Ejecutivo,JOSE ALBERTO RODRIGUEZ HUERTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ALBERTO_RODRIGUEZ_HUERTA_55451.pdf
Poder Ejecutivo,JOSE ENRIQUE DE JESUS RODRIGUEZ MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ENRIQUE_DE_JESUS_RODRIGUEZ_MARTINEZ_55452.pdf
Poder Legislativo,MOISES MANUEL ROMO CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MOISES_MANUEL_ROMO_CRUZ_55540.pdf
En Funciones,FRANCISCO JAVIER SARABIA ASCENCIO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_JAVIER_SARABIA_ASCENCIO_54929.pdf
Poder Ejecutivo,LUIS ENRIQUE SOLIS ALVARADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ENRIQUE_SOLIS_ALVARADO_55098.pdf
En Funciones,CARLOS ALBERTO ZERPA DURAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_ALBERTO_ZERPA_DURAN_55359.pdf
Poder Legislativo,GEMA AYECAC JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GEMA_AYECAC_JIMENEZ_52595.pdf
En Funciones,ALBA YANELI BELLO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALBA_YANELI_BELLO_MARTINEZ_52582.pdf
Poder Ejecutivo,CARMEN PATRICIA CHAVEZ ACOSTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARMEN_PATRICIA_CHAVEZ_ACOSTA_52812.pdf
En Funciones,GABRIELA ELEONORA CORTES ARAUJO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_ELEONORA_CORTES_ARAUJO_52914.pdf
"Poder Ejecutivo, Poder Legislativo",EVELYN LIZBETH ESTRADA SALAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EVELYN_LIZBETH_ESTRADA_SALAS_52978.pdf
Poder Legislativo,NORA FLORES CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NORA_FLORES_CASTILLO_53316.pdf
Poder Legislativo,CLAUDIA LEONOR GALINDO SOTO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_LEONOR_GALINDO_SOTO_53284.pdf
Poder Judicial,MARIA GUTIERREZ SILVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_GUTIERREZ_SILVA_53382.pdf
"Poder Ejecutivo, Poder Judicial",AUREA HERNANDEZ MEZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/AUREA_HERNANDEZ_MEZA_53635.pdf
Poder Ejecutivo,ANAID LOPEZ VERGARA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANAID_LOPEZ_VERGARA_53879.pdf
Poder Ejecutivo,FRIDA LOURDES MATA ROMERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRIDA_LOURDES_MATA_ROMERO_54325.pdf
"Poder Judicial, Poder Legislativo",GUILLERMINA MATIAS GARDUÑO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUILLERMINA_MATIAS_GARDUÑO_54150.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",CLAUDIA VERONICA MONROY RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_VERONICA_MONROY_RAMIREZ_53837.pdf
"Poder Judicial, Poder Legislativo",VERONICA SILVIA MUÑOZ NUÑEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_SILVIA_MUÑOZ_NUÑEZ_54303.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",LILIANA MUÑOZ ORTIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LILIANA_MUÑOZ_ORTIZ_54304.pdf
Poder Judicial,YDALIA PEREZ FERNANDEZ CEJA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YDALIA_PEREZ_FERNANDEZ_CEJA_54046.pdf
En Funciones,LAURA SERRANO ALDERETE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_SERRANO_ALDERETE_54903.pdf
Poder Ejecutivo,DANIELA TEJEDA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANIELA_TEJEDA_HERNANDEZ_54752.pdf
Poder Judicial,MARIA BARBARA TEMPLOS VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_BARBARA_TEMPLOS_VAZQUEZ_54984.pdf
