Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Ejecutivo,CONCEPCION MARIA DEL ROCIO BALDERAS FERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CONCEPCION_MARIA_DEL_ROCIO_BALDERAS_FERNANDEZ_302.pdf
Poder Ejecutivo,GABRIELA EUGENIA DEL VALLE PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_EUGENIA_DEL_VALLE_PEREZ_306.pdf
Poder Judicial,ADRIANA MARGARITA FAVELA HERRERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_MARGARITA_FAVELA_HERRERA_110.pdf
Poder Legislativo,SANDRA PEREZ CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_PEREZ_CRUZ_111.pdf
Poder Legislativo,DULCE MAGALLI RAMIREZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DULCE_MAGALLI_RAMIREZ_GARCIA_4108.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",CLAUDIA VALLE AGUILASOCHO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_VALLE_AGUILASOCHO_112.pdf
Poder Ejecutivo,GILBERTO DE GUZMAN BATIZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GILBERTO_DE_GUZMAN_BATIZ_GARCIA_308.pdf
Poder Judicial,LUIS ESPINDOLA MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ESPINDOLA_MORALES_115.pdf
Poder Judicial,ENRIQUE FIGUEROA AVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ENRIQUE_FIGUEROA_AVILA_116.pdf
Poder Judicial,ARMANDO HERNANDEZ CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARMANDO_HERNANDEZ_CRUZ_117.pdf
Poder Legislativo,RUBEN JESUS LARA PATRON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RUBEN_JESUS_LARA_PATRON_118.pdf
Poder Ejecutivo,RODRIGO QUEZADA GONCEN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RODRIGO_QUEZADA_GONCEN_310.pdf
Poder Legislativo,JORGE SANCHEZ MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_SANCHEZ_MORALES_120.pdf
Poder Ejecutivo,JORGE EMILIO SANCHEZ CORDERO GROSSMANN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_EMILIO_SANCHEZ_CORDERO_GROSSMANN_311.pdf
Poder Legislativo,CESAR LORENZO WONG MERAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_LORENZO_WONG_MERAZ_122.pdf
