Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Ejecutivo,ARIADNA CAMACHO CONTRERAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARIADNA_CAMACHO_CONTRERAS_15058.pdf
En Funciones,EVA VERONICA DE GYVES ZARATE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EVA_VERONICA_DE_GYVES_ZARATE_15353.pdf
Poder Legislativo,ABIGAIL DIAZ DE LEON BENARD,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABIGAIL_DIAZ_DE_LEON_BENARD_15714.pdf
Poder Ejecutivo,INDIRA ISABEL GARCIA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/INDIRA_ISABEL_GARCIA_PEREZ_15956.pdf
Poder Ejecutivo,VERONICA PATRICIA GOMEZ SCHULZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_PATRICIA_GOMEZ_SCHULZ_15877.pdf
Poder Legislativo,ANABEL GORDILLO ARGUELLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANABEL_GORDILLO_ARGUELLO_16128.pdf
"Poder Ejecutivo, Poder Judicial",LILIANA HERNANDEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LILIANA_HERNANDEZ_HERNANDEZ_16511.pdf
Poder Legislativo,FANY LORENA JIMENEZ AGUIRRE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FANY_LORENA_JIMENEZ_AGUIRRE_16479.pdf
"En Funciones, Poder Ejecutivo",CELIA MAYA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CELIA_MAYA_GARCIA_16954.pdf
Poder Ejecutivo,BLANCA ALICIA OCHOA HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BLANCA_ALICIA_OCHOA_HERNANDEZ_17315.pdf
Poder Legislativo,YOLANDA OTERO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YOLANDA_OTERO_GARCIA_17416.pdf
Poder Legislativo,MARTHA BEATRIZ PINEDO CORRALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTHA_BEATRIZ_PINEDO_CORRALES_17465.pdf
Poder Legislativo,MA. BELEN REYES OROPEZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MA._BELEN_REYES_OROPEZA_17787.pdf
Poder Ejecutivo,JAZMIN GABRIELA RIVERA REYES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAZMIN_GABRIELA_RIVERA_REYES_17545.pdf
Poder Ejecutivo,MARIA ISABEL ROJAS LETECHIPIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ISABEL_ROJAS_LETECHIPIA_17905.pdf
Poder Legislativo,ROSA MARIA SALINAS SILVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSA_MARIA_SALINAS_SILVA_17975.pdf
Poder Ejecutivo,MONICA SANCHEZ CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MONICA_SANCHEZ_CASTILLO_18013.pdf
Poder Judicial,DENISSE DE LOS ANGELES URIBE OBREGON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DENISSE_DE_LOS_ANGELES_URIBE_OBREGON_18485.pdf
Poder Legislativo,MARIA ELISA VERA MADRIGAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ELISA_VERA_MADRIGAL_18545.pdf
Poder Legislativo,HASUBA VILLA BEDOLLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HASUBA_VILLA_BEDOLLA_18572.pdf
Poder Legislativo,JUAN PEDRO ALCUDIA VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_PEDRO_ALCUDIA_VAZQUEZ_14596.pdf
Poder Judicial,OCTAVIO AVILA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OCTAVIO_AVILA_MARTINEZ_15082.pdf
En Funciones,BERNARDO BATIZ VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BERNARDO_BATIZ_VAZQUEZ_14818.pdf
Poder Judicial,JUVENAL CARBAJAL DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUVENAL_CARBAJAL_DIAZ_15115.pdf
Poder Legislativo,LUIS MIGUEL CEJA GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_MIGUEL_CEJA_GONZALEZ_15414.pdf
Poder Ejecutivo,JORGE ALFREDO CLEMENTE PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ALFREDO_CLEMENTE_PEREZ_15549.pdf
Poder Judicial,JORGE ANTONIO CRUZ RAMOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ANTONIO_CRUZ_RAMOS_15322.pdf
Poder Ejecutivo,MIGUEL ANGEL DE LOS SANTOS CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_DE_LOS_SANTOS_CRUZ_15375.pdf
Poder Legislativo,ADOLFO FRANCO GUEVARA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADOLFO_FRANCO_GUEVARA_15686.pdf
Poder Ejecutivo,GILDARDO GALINZOGA ESPARZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GILDARDO_GALINZOGA_ESPARZA_16036.pdf
Poder Ejecutivo,RUFINO H LEON TOVAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RUFINO_H_LEON_TOVAR_16160.pdf
