Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Ejecutivo,NALLELY VIANEY PAREDES SUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NALLELY_VIANEY_PAREDES_SUAREZ_54651.pdf
Poder Judicial,ALEJANDRA GUADALUPE PEREZ CERISOLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRA_GUADALUPE_PEREZ_CERISOLA_54189.pdf
Poder Ejecutivo,VIRIDIANA BERENICE QUIROZ ANGEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VIRIDIANA_BERENICE_QUIROZ_ANGEL_55181.pdf
Poder Ejecutivo,THAYBELLI IVETTE SANCHEZ ROJAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/THAYBELLI_IVETTE_SANCHEZ_ROJAS_55580.pdf
Poder Legislativo,JESIKA ALEJANDRA VELAZQUEZ TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESIKA_ALEJANDRA_VELAZQUEZ_TORRES_55399.pdf
"En Funciones, Poder Judicial",ERIKA YAZMIN ZARATE VILLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIKA_YAZMIN_ZARATE_VILLA_54736.pdf
Poder Ejecutivo,OMAR CARDOZA MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OMAR_CARDOZA_MARTINEZ_52545.pdf
Poder Judicial,ERICK ADRIAN GARCIA GOMEZ,
Poder Judicial,JESUS DAMIAN GONZALEZ RIVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_DAMIAN_GONZALEZ_RIVERA_53365.pdf
En Funciones,LUIS ALBERTO IBARRA NAVARRETE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ALBERTO_IBARRA_NAVARRETE_53732.pdf
"En Funciones, Poder Judicial, Poder Legislativo",EDGAR IVAN JORDAN CHAVEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_IVAN_JORDAN_CHAVEZ_53504.pdf
