Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
En Funciones,LUZ MARIA ORTEGA TLAPA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUZ_MARIA_ORTEGA_TLAPA_54841.pdf
Poder Ejecutivo,ALEJANDRA RAMIREZ DE LA VEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRA_RAMIREZ_DE_LA_VEGA_54423.pdf
Poder Judicial,MELINA REYES GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MELINA_REYES_GUTIERREZ_55007.pdf
"Poder Judicial, Poder Legislativo",VERONICA PATRICIA ROBLES MEDINA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_PATRICIA_ROBLES_MEDINA_54474.pdf
En Funciones,KARLA LUISA SANCHEZ LUNA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KARLA_LUISA_SANCHEZ_LUNA_55482.pdf
Poder Legislativo,LAURA ARLENN SOLORIO NOCETTI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_ARLENN_SOLORIO_NOCETTI_54946.pdf
Poder Legislativo,JOSUE VICENTE ALANUZA MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSUE_VICENTE_ALANUZA_MORALES_52246.pdf
Poder Ejecutivo,ARTURO YAHIR JOSE CARIDAD VILLEGAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARTURO_YAHIR_JOSE_CARIDAD_VILLEGAS_52546.pdf
Poder Judicial,RODRIGO DUEÑAS GAEHD,
Poder Ejecutivo,EDGAR GUERRERO CENTENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_GUERRERO_CENTENO_53594.pdf
"Poder Ejecutivo, Poder Judicial",OMAR JAIMES BENITEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OMAR_JAIMES_BENITEZ_53733.pdf
En Funciones,JOSE LOPEZ MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_LOPEZ_MARTINEZ_53930.pdf
Poder Judicial,ASAEL MANJARREZ ESQUIVEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ASAEL_MANJARREZ_ESQUIVEL_53939.pdf
Poder Ejecutivo,JOSE JUAN MEDINA PAREDES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_JUAN_MEDINA_PAREDES_54121.pdf
Poder Ejecutivo,ALFREDO MONTES DE OCA CONTRERAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALFREDO_MONTES_DE_OCA_CONTRERAS_54690.pdf
Poder Judicial,JORGE DANIEL OCHOA RUIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_DANIEL_OCHOA_RUIZ_54655.pdf
En Funciones,JUAN MIGUEL ORTIZ MARMOLEJO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_MIGUEL_ORTIZ_MARMOLEJO_54201.pdf
Poder Ejecutivo,JUAN JOSE PULIDO ROGEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_JOSE_PULIDO_ROGEL_54806.pdf
Poder Ejecutivo,GAD LEVI RODRIGUEZ PEDRAZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GAD_LEVI_RODRIGUEZ_PEDRAZA_55324.pdf
"Poder Judicial, Poder Legislativo",MICHAEL RODRIGUEZ SUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MICHAEL_RODRIGUEZ_SUAREZ_54413.pdf
Poder Judicial,RIGOBERTO ROJAS NUÑEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RIGOBERTO_ROJAS_NUÑEZ_55488.pdf
Poder Legislativo,JUAN ROMERO VALENCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_ROMERO_VALENCIA_55071.pdf
Poder Legislativo,PEDRO ROSAS GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PEDRO_ROSAS_GUTIERREZ_55147.pdf
Poder Legislativo,MARIANO RUIZ ZUBIETA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANO_RUIZ_ZUBIETA_54383.pdf
Poder Legislativo,JORGE LUIS SANCHEZ GALINDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_LUIS_SANCHEZ_GALINDO_54909.pdf
Poder Legislativo,JORGE VALENTE SANTOS FLORES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_VALENTE_SANTOS_FLORES_55557.pdf
"Poder Ejecutivo, Poder Legislativo",GUSTAVO SERRANO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUSTAVO_SERRANO_GARCIA_54906.pdf
"En Funciones, Poder Judicial",RAYMUNDO SERRANO NOLASCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAYMUNDO_SERRANO_NOLASCO_54907.pdf
Poder Judicial,RICARDO AUGUSTO SORIANO CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_AUGUSTO_SORIANO_CRUZ_54952.pdf
En Funciones,MARCOS VARGAS SOLANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCOS_VARGAS_SOLANO_55434.pdf
"Poder Ejecutivo, Poder Legislativo",IRIS DEL ROCIO CUREÑO HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRIS_DEL_ROCIO_CUREÑO_HERNANDEZ_52655.pdf
Poder Legislativo,AIMEE MICHELLE DELGADO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/AIMEE_MICHELLE_DELGADO_MARTINEZ_52686.pdf
"Poder Judicial, Poder Legislativo",SUSANA FUENTES GRANADOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SUSANA_FUENTES_GRANADOS_53305.pdf
Poder Ejecutivo,ITZEL ALEJANDRA MARTINEZ ARRIAGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ITZEL_ALEJANDRA_MARTINEZ_ARRIAGA_53748.pdf
Poder Judicial,ARACELI MARTINEZ OSORIO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARACELI_MARTINEZ_OSORIO_53612.pdf
"En Funciones, Poder Legislativo",TANIA ROSALINDA MENDEZ LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/TANIA_ROSALINDA_MENDEZ_LOPEZ_53695.pdf
Poder Legislativo,MARIANA MONROY MARIN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANA_MONROY_MARIN_54238.pdf
"Poder Ejecutivo, Poder Judicial",CARMEN NAYELLY ORTEGA GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARMEN_NAYELLY_ORTEGA_GUTIERREZ_54280.pdf
Poder Ejecutivo,ARIANA PEREZ DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARIANA_PEREZ_DIAZ_54028.pdf
Poder Legislativo,THELMA TAVIRA PINEDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/THELMA_TAVIRA_PINEDA_54748.pdf
Poder Judicial,STEPHANIE TORRES MORO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/STEPHANIE_TORRES_MORO_55468.pdf
Poder Judicial,ANA LILIA URIBE VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_LILIA_URIBE_VAZQUEZ_55530.pdf
Poder Judicial,JULIETA VALENTINO VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JULIETA_VALENTINO_VAZQUEZ_55583.pdf
"En Funciones, Poder Ejecutivo, Poder Judicial, Poder Legislativo",MARIANA VIEYRA VALDES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIANA_VIEYRA_VALDES_55107.pdf
Poder Legislativo,LUIS FERNANDO ALVAREZ MUÑOZ,
"Poder Judicial, Poder Legislativo",OMAR AVILA CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OMAR_AVILA_CASTILLO_52830.pdf
Poder Judicial,MOISES ABRAHAM BETANZOS LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MOISES_ABRAHAM_BETANZOS_LOPEZ_52272.pdf
Poder Legislativo,JOSE MIGUEL BUENDIA CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_MIGUEL_BUENDIA_CASTILLO_52295.pdf
Poder Legislativo,JORGE ADRIAN CRUZ FLORES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ADRIAN_CRUZ_FLORES_52933.pdf
Poder Legislativo,EDGAR OLDAIR FLORES CHAVEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_OLDAIR_FLORES_CHAVEZ_53028.pdf
Poder Legislativo,FERNANDO HERNAN GARCES GODINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDO_HERNAN_GARCES_GODINEZ_53017.pdf
Poder Ejecutivo,CESAR EDUARDO JIMENEZ MORENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESAR_EDUARDO_JIMENEZ_MORENO_53502.pdf
Poder Judicial,MIGUEL ANGEL LEGORRETA BRAVO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_ANGEL_LEGORRETA_BRAVO_53602.pdf
En Funciones,JORGE JANNU LIZARRAGA DELGADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_JANNU_LIZARRAGA_DELGADO_54228.pdf
"Poder Ejecutivo, Poder Judicial",ANGEL ANTONIO LOPEZ SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGEL_ANTONIO_LOPEZ_SANCHEZ_53952.pdf
Poder Ejecutivo,MOISES MALVAEZ MERCADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MOISES_MALVAEZ_MERCADO_53937.pdf
Poder Legislativo,RIGOBERTO MARTINEZ LAZCANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RIGOBERTO_MARTINEZ_LAZCANO_53744.pdf
Poder Ejecutivo,ERIK DANIEL NAVA NAJERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIK_DANIEL_NAVA_NAJERA_54553.pdf
Poder Legislativo,MARIO ALBERTO PARADA CERON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIO_ALBERTO_PARADA_CERON_54485.pdf
Poder Legislativo,MARTIN FARADH PONCE FAISAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTIN_FARADH_PONCE_FAISAL_54662.pdf
En Funciones,RENE RAMOS PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RENE_RAMOS_PEREZ_55226.pdf
Poder Ejecutivo,GUILLERMO RIOS GUERRERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GUILLERMO_RIOS_GUERRERO_54826.pdf
Poder Legislativo,ISRAEL QUINTIN TAVERA SAINZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISRAEL_QUINTIN_TAVERA_SAINZ_54747.pdf
Poder Judicial,JUAN CARLOS UGALDE GUZMAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_CARLOS_UGALDE_GUZMAN_54798.pdf
"Poder Ejecutivo, Poder Legislativo",JORGE LUIS VARGAS VIQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_LUIS_VARGAS_VIQUEZ_55212.pdf
Poder Legislativo,GABRIELA BALANDRAN SEPULVEDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_BALANDRAN_SEPULVEDA_52636.pdf
"Poder Ejecutivo, Poder Judicial",MARIA LUISA BARBOSA LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_LUISA_BARBOSA_LOPEZ_52702.pdf
Poder Ejecutivo,MARTHA LORENA BENAVIDES CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTHA_LORENA_BENAVIDES_CASTILLO_52449.pdf
"Poder Ejecutivo, Poder Legislativo",NADIA VIANEY BURGOS GOMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NADIA_VIANEY_BURGOS_GOMEZ_52326.pdf
Poder Legislativo,LYDIA MILAGROS CEDEÑO AVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LYDIA_MILAGROS_CEDEÑO_AVILA_52838.pdf
Poder Legislativo,ERIKA CORDOVA CATALAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIKA_CORDOVA_CATALAN_52879.pdf
Poder Ejecutivo,ANGELICA GONZALEZ TAPIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGELICA_GONZALEZ_TAPIA_53466.pdf
Poder Legislativo,MADIAN SINAI MENCHACA SIERRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MADIAN_SINAI_MENCHACA_SIERRA_54148.pdf
Poder Judicial,KARINA LIZETH OROZCO ANTON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KARINA_LIZETH_OROZCO_ANTON_54840.pdf
Poder Ejecutivo,KARLA RUESGA SOLANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KARLA_RUESGA_SOLANO_55246.pdf
Poder Ejecutivo,ADRIANA ESTEFANIA VILLANUEVA MACEDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_ESTEFANIA_VILLANUEVA_MACEDO_55567.pdf
Poder Judicial,JESUS ALBERTO ANZALDO MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_ALBERTO_ANZALDO_MARTINEZ_52154.pdf
Poder Ejecutivo,MANUEL AYALA REYES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MANUEL_AYALA_REYES_52576.pdf
En Funciones,NAHUM BAUTISTA GALLARDO,
Poder Legislativo,JOSE ENRIQUE BLANCO FERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ENRIQUE_BLANCO_FERNANDEZ_52280.pdf
Poder Judicial,SERGIO DE ROSAS GUTIERREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_DE_ROSAS_GUTIERREZ_52731.pdf
Poder Legislativo,JAVIER ARTURO HERNANDEZ ESPINDOLA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_ARTURO_HERNANDEZ_ESPINDOLA_53543.pdf
Poder Legislativo,JUAN PABLO HERNANDEZ VENADERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_PABLO_HERNANDEZ_VENADERO_53552.pdf
Poder Legislativo,GONZALO LOPEZ RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GONZALO_LOPEZ_RAMIREZ_54161.pdf
Poder Ejecutivo,ANGEL LUJANO VELAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGEL_LUJANO_VELAZQUEZ_53828.pdf
Poder Ejecutivo,ROBERTO MENDOZA ALVAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROBERTO_MENDOZA_ALVAREZ_54104.pdf
Poder Ejecutivo,CRISTOBAL NUÑEZ GODINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CRISTOBAL_NUÑEZ_GODINEZ_54561.pdf
Poder Legislativo,CARLOS MANUEL PADILLA SALAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_MANUEL_PADILLA_SALAS_54888.pdf
Poder Judicial,ABEL PEREZ GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABEL_PEREZ_GONZALEZ_54032.pdf
En Funciones,FRANCISCO RESENDIZ NERI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_RESENDIZ_NERI_54835.pdf
Poder Ejecutivo,JUAN JOSE RODRIGUEZ VELARDE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JUAN_JOSE_RODRIGUEZ_VELARDE_54978.pdf
Poder Legislativo,HORACIO RUVALCABA CORRAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HORACIO_RUVALCABA_CORRAL_55458.pdf
En Funciones,ISAIAS SANCHEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISAIAS_SANCHEZ_GARCIA_55496.pdf
Poder Legislativo,LUIS SANCHEZ PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_SANCHEZ_PEREZ_54912.pdf
Poder Legislativo,BETZABETH ALMAZAN MORALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BETZABETH_ALMAZAN_MORALES_52235.pdf
Poder Ejecutivo,ARLETTE BISTENI PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARLETTE_BISTENI_PEREZ_52277.pdf
"En Funciones, Poder Judicial, Poder Legislativo",DULCE GUADALUPE CANTO QUINTAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DULCE_GUADALUPE_CANTO_QUINTAL_52775.pdf
Poder Ejecutivo,MARIA ISABEL CONTRERAS LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_ISABEL_CONTRERAS_LOPEZ_52618.pdf
"Poder Ejecutivo, Poder Judicial",CESIAH KEREN LEON ROCHA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CESIAH_KEREN_LEON_ROCHA_53569.pdf
Poder Legislativo,AMALIA IRANDERY ORTIZ ARMENDARIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/AMALIA_IRANDERY_ORTIZ_ARMENDARIZ_54695.pdf
Poder Legislativo,CECILIA DEL CARMEN PONCE PONCE,
Poder Ejecutivo,MARIA DE FATIMA RAMIREZ ESPARZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DE_FATIMA_RAMIREZ_ESPARZA_54424.pdf
Poder Legislativo,JESSICA RESENDIZ JAIME,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESSICA_RESENDIZ_JAIME_54833.pdf
Poder Judicial,DAMARIS ESTHER TAMEZ DOMINGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DAMARIS_ESTHER_TAMEZ_DOMINGUEZ_55402.pdf
Poder Legislativo,MARTHA ISABEL VILLA SANTOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARTHA_ISABEL_VILLA_SANTOS_55188.pdf
Poder Ejecutivo,ADRIAN GUADALUPE AGUIRRE HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIAN_GUADALUPE_AGUIRRE_HERNANDEZ_52214.pdf
Poder Legislativo,ISAIAS BECERRA LEYVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISAIAS_BECERRA_LEYVA_52596.pdf
"Poder Ejecutivo, Poder Judicial",GIANCARLO COVELLI GOMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GIANCARLO_COVELLI_GOMEZ_52928.pdf
"Poder Judicial, Poder Legislativo",KEVIN JESUS DE AVILA NAVARRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KEVIN_JESUS_DE_AVILA_NAVARRO_52559.pdf
Poder Ejecutivo,ISAAC FABELA LEON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISAAC_FABELA_LEON_53433.pdf
En Funciones,GERARDO EDUARDO GARCIA SALGADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GERARDO_EDUARDO_GARCIA_SALGADO_53597.pdf
Poder Ejecutivo,JESUS VLADIMIR LEON MOSTACCI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_VLADIMIR_LEON_MOSTACCI_53958.pdf
Poder Judicial,ELIAS LUNA CORTES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELIAS_LUNA_CORTES_53835.pdf
Poder Judicial,RODOLFO MEDRANO COVARRUBIAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RODOLFO_MEDRANO_COVARRUBIAS_54580.pdf
Poder Judicial,ALFREDO YSRAEL MEJIA ANAYA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALFREDO_YSRAEL_MEJIA_ANAYA_54582.pdf
"Poder Ejecutivo, Poder Legislativo",JOSEPH IRWING OLID ARANDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSEPH_IRWING_OLID_ARANDA_54060.pdf
Poder Ejecutivo,GREGORIO RAFAEL OLVERA BONALES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GREGORIO_RAFAEL_OLVERA_BONALES_54332.pdf
Poder Legislativo,JOSE HECTOR SANDOVAL PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_HECTOR_SANDOVAL_PEREZ_55026.pdf
Poder Judicial,LUIS CARLOS VEGA GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_CARLOS_VEGA_GONZALEZ_54765.pdf
Poder Judicial,CAROL JANET BEZANA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CAROL_JANET_BEZANA_PEREZ_52275.pdf
Poder Legislativo,CENTELLA BRISEÑO MONTES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CENTELLA_BRISEÑO_MONTES_52333.pdf
Poder Ejecutivo,DANIELA BROSS DIAZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DANIELA_BROSS_DIAZ_53014.pdf
Poder Judicial,ANA MAYELA DOMINGUEZ TREJO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_MAYELA_DOMINGUEZ_TREJO_53007.pdf
Poder Legislativo,CARMEN SOFIA GOMEZ TORRES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARMEN_SOFIA_GOMEZ_TORRES_53080.pdf
Poder Judicial,LUZ PILAR GONZALEZ MERCADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUZ_PILAR_GONZALEZ_MERCADO_53096.pdf
Poder Legislativo,DIANA JUDITH ORTIZ SALAS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DIANA_JUDITH_ORTIZ_SALAS_54692.pdf
Poder Legislativo,HILDA NALLELY PRADO OROZCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HILDA_NALLELY_PRADO_OROZCO_54531.pdf
Poder Legislativo,VERONICA RUGERIO SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_RUGERIO_SANCHEZ_55489.pdf
En Funciones,CONRADO ALCALA ROMO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CONRADO_ALCALA_ROMO_52255.pdf
Poder Ejecutivo,LUIS ALBERTO ARAUJO LIZARDI,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ALBERTO_ARAUJO_LIZARDI_52357.pdf
Poder Ejecutivo,JESUS AYALA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JESUS_AYALA_GARCIA_52389.pdf
Poder Legislativo,MIGUEL IRVING BECERRA MONTALVO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIGUEL_IRVING_BECERRA_MONTALVO_52707.pdf
Poder Ejecutivo,CARLOS CAMACHO RIOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_CAMACHO_RIOS_52609.pdf
Poder Ejecutivo,CARLOS ERNESTO ECHEVERRIA ALVARADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARLOS_ERNESTO_ECHEVERRIA_ALVARADO_52867.pdf
Poder Legislativo,ALDO ARTURO GOMEZ SEGURA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALDO_ARTURO_GOMEZ_SEGURA_53180.pdf
Poder Ejecutivo,SAMUEL GONZALEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SAMUEL_GONZALEZ_GARCIA_53727.pdf
Poder Judicial,EDUARDO CIPRIANO MANZANILLA AZNAREZ,
Poder Legislativo,JORGE ARMANDO MARINO GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JORGE_ARMANDO_MARINO_GARCIA_53646.pdf
En Funciones,MARCO ANTONIO PELAYO JUAREZ,
Poder Ejecutivo,ANTONIO IVAN SANCHEZ ZUNO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_IVAN_SANCHEZ_ZUNO_54393.pdf
Poder Legislativo,RODRIGO SOLIS GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RODRIGO_SOLIS_GARCIA_55190.pdf
Poder Ejecutivo,JOSE DE JESUS TORRES GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_DE_JESUS_TORRES_GONZALEZ_55055.pdf
"Poder Ejecutivo, Poder Legislativo",STEFANY GUADALUPE AMPARO CARRILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/STEFANY_GUADALUPE_AMPARO_CARRILLO_52164.pdf
"Poder Ejecutivo, Poder Judicial",MIRIAM LIZETTE CASTELLANOS REYES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MIRIAM_LIZETTE_CASTELLANOS_REYES_52642.pdf
Poder Legislativo,SABRINA DUEÑAS AGUIRRE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SABRINA_DUEÑAS_AGUIRRE_53036.pdf
Poder Judicial,ELUZAI RAFAEL AGUILAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELUZAI_RAFAEL_AGUILAR_55185.pdf
Poder Judicial,ANGELICA JAZMIN RAMIREZ GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANGELICA_JAZMIN_RAMIREZ_GONZALEZ_54417.pdf
"Poder Ejecutivo, Poder Legislativo",CLAUDIA MARIANA SALMERON MERCADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_MARIANA_SALMERON_MERCADO_55278.pdf
Poder Legislativo,JHONATAN ALEXANDER ANGEL JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JHONATAN_ALEXANDER_ANGEL_JUAREZ_52336.pdf
"Poder Ejecutivo, Poder Legislativo",OSCAR CUETO CABRAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OSCAR_CUETO_CABRAL_52672.pdf
Poder Ejecutivo,HERIBERTO ESTRADA MIRAMONTES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HERIBERTO_ESTRADA_MIRAMONTES_53211.pdf
