Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
"Poder Ejecutivo, Poder Legislativo",REBECA BARRERA AMADOR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/REBECA_BARRERA_AMADOR_15192.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",IRINA GRACIELA CERVANTES BRAVO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRINA_GRACIELA_CERVANTES_BRAVO_15428.pdf
Poder Legislativo,CAROLINA CHAVEZ RANGEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CAROLINA_CHAVEZ_RANGEL_15445.pdf
Poder Legislativo,VERONICA ELIZABETH GARCIA ONTIVEROS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VERONICA_ELIZABETH_GARCIA_ONTIVEROS_15955.pdf
Poder Ejecutivo,ELVA REGINA JIMENEZ CASTILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ELVA_REGINA_JIMENEZ_CASTILLO_16482.pdf
Poder Ejecutivo,CATALINA MORENO TRILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CATALINA_MORENO_TRILLO_17075.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",GABRIELA DOLORES RUVALCABA GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_DOLORES_RUVALCABA_GARCIA_17924.pdf
Poder Ejecutivo,CARMEN PATRICIA SALAZAR CAMPILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARMEN_PATRICIA_SALAZAR_CAMPILLO_17940.pdf
Poder Judicial,JULIETA VALLADARES BARRAGAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JULIETA_VALLADARES_BARRAGAN_18530.pdf
Poder Legislativo,JOSE ANTONIO AGUILAR MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ANTONIO_AGUILAR_MARTINEZ_14680.pdf
Poder Ejecutivo,ENRIQUE BASAURI CAGIDE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ENRIQUE_BASAURI_CAGIDE_14813.pdf
Poder Legislativo,HECTOR JESUS GOMEZ GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HECTOR_JESUS_GOMEZ_GARCIA_15878.pdf
En Funciones,SERGIO ARTURO GUERRERO OLVERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_ARTURO_GUERRERO_OLVERA_16101.pdf
Poder Ejecutivo,MARINO EDWIN GUZMAN RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARINO_EDWIN_GUZMAN_RAMIREZ_16282.pdf
Poder Judicial,SERGIO MORENO TRUJILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_MORENO_TRUJILLO_17076.pdf
Poder Judicial,JOSE RAMIREZ SALCEDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_RAMIREZ_SALCEDO_17547.pdf
Poder Ejecutivo,JAIME VARGAS FLORES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAIME_VARGAS_FLORES_18305.pdf
"Poder Ejecutivo, Poder Judicial",VIOLETA ALEMAN ONTIVEROS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VIOLETA_ALEMAN_ONTIVEROS_14700.pdf
Poder Ejecutivo,SARALANY CAVAZOS VELEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SARALANY_CAVAZOS_VELEZ_15405.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",CLAUDIA PATRICIA DE LA GARZA RAMOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_PATRICIA_DE_LA_GARZA_RAMOS_15360.pdf
Poder Judicial,MADELEYNE IVETT FIGUEROA GAMEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MADELEYNE_IVETT_FIGUEROA_GAMEZ_15805.pdf
"Poder Judicial, Poder Legislativo",EUSEBIA GONZALEZ GONZALEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EUSEBIA_GONZALEZ_GONZALEZ_16073.pdf
"Poder Judicial, Poder Legislativo",MARIA DE LOS ANGELES GUZMAN GARCIA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DE_LOS_ANGELES_GUZMAN_GARCIA_16283.pdf
"Poder Ejecutivo, Poder Legislativo",ANA CECILIA LOPEZ DAVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANA_CECILIA_LOPEZ_DAVILA_16566.pdf
Poder Legislativo,MARIA DOLORES LOPEZ LOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_DOLORES_LOPEZ_LOZA_16600.pdf
Poder Ejecutivo,CLARA PATRICIA MUJICA VALDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLARA_PATRICIA_MUJICA_VALDEZ_17224.pdf
Poder Ejecutivo,MARIA GUADALUPE VAZQUEZ OROZCO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_GUADALUPE_VAZQUEZ_OROZCO_18323.pdf
Poder Judicial,ANTONIO ENRIQUE AGUILAR CARAVEO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ANTONIO_ENRIQUE_AGUILAR_CARAVEO_14674.pdf
En Funciones,ERNESTO CAMACHO OCHOA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERNESTO_CAMACHO_OCHOA_15228.pdf
Poder Ejecutivo,RICARDO ARTURO CASTILLO TREJO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RICARDO_ARTURO_CASTILLO_TREJO_15016.pdf
Poder Legislativo,SERGIO DIAZ RENDON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SERGIO_DIAZ_RENDON_15509.pdf
Poder Judicial,JULIAN GUERRERO JUAREZ,
Poder Ejecutivo,VICTOR MONTOYA AYALA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VICTOR_MONTOYA_AYALA_17176.pdf
