Poder de la Unión,Persona Candidata,CurriculumV Persona Candidata
Poder Legislativo,JAVIER NAÑEZ PRO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JAVIER_NAÑEZ_PRO_17261.pdf
Poder Judicial,PAULO ABRAHAM ORDAZ QUINTERO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PAULO_ABRAHAM_ORDAZ_QUINTERO_17046.pdf
"Poder Ejecutivo, Poder Legislativo",ALFONSO ROIZ ELIZONDO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALFONSO_ROIZ_ELIZONDO_17896.pdf
Poder Legislativo,YOLIDABEY ALVARADO DE LA CRUZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/YOLIDABEY_ALVARADO_DE_LA_CRUZ_14796.pdf
En Funciones,EVA BARRIENTOS ZEPEDA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EVA_BARRIENTOS_ZEPEDA_15197.pdf
"Poder Ejecutivo, Poder Legislativo",ROSELIA BUSTILLO MARIN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ROSELIA_BUSTILLO_MARIN_15001.pdf
"Poder Ejecutivo, Poder Legislativo",CLAUDIA DIAZ TABLADA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CLAUDIA_DIAZ_TABLADA_15490.pdf
Poder Ejecutivo,ERIKA GARCIA PEREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERIKA_GARCIA_PEREZ_15957.pdf
"Poder Ejecutivo, Poder Judicial",CAMELIA GASPAR MARTINEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CAMELIA_GASPAR_MARTINEZ_15850.pdf
Poder Ejecutivo,CARIDAD GUADALUPE HERNANDEZ ZENTENO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CARIDAD_GUADALUPE_HERNANDEZ_ZENTENO_16514.pdf
Poder Judicial,JENNY'S LIZBETH MARTINEZ AVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JENNY'S_LIZBETH_MARTINEZ_AVILA_16903.pdf
Poder Judicial,NANCY DEL CARMEN PEREZ JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NANCY_DEL_CARMEN_PEREZ_JUAREZ_17347.pdf
Poder Legislativo,SANDRA TIMAL LOPEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SANDRA_TIMAL_LOPEZ_18408.pdf
Poder Ejecutivo,TANIA CELINA VASQUEZ MUÑOZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/TANIA_CELINA_VASQUEZ_MUÑOZ_18318.pdf
Poder Legislativo,SILVINO HERNANDEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/SILVINO_HERNANDEZ_HERNANDEZ_16515.pdf
Poder Ejecutivo,MARCOS INOCENCIO MARTINEZ ALCAZAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCOS_INOCENCIO_MARTINEZ_ALCAZAR_16904.pdf
Poder Ejecutivo,RIGOBERTO RILEY MATA VILLANUEVA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RIGOBERTO_RILEY_MATA_VILLANUEVA_16936.pdf
Poder Legislativo,ABNER RONCES MEX,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ABNER_RONCES_MEX_18113.pdf
"Poder Judicial, Poder Legislativo",VICTOR MANUEL ROSAS LEAL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/VICTOR_MANUEL_ROSAS_LEAL_18127.pdf
Poder Ejecutivo,GILBERTO CONSTITUYENTE SALAZAR CEBALLOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GILBERTO_CONSTITUYENTE_SALAZAR_CEBALLOS_17947.pdf
Poder Judicial,RAFAEL ANDRES SCHLESKE COUTIÑO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RAFAEL_ANDRES_SCHLESKE_COUTIÑO_18255.pdf
"En Funciones, Poder Judicial",JOSE ANTONIO TRONCOSO AVILA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ANTONIO_TRONCOSO_AVILA_18468.pdf
Poder Ejecutivo,GABRIELA FIGUEROA SALMORAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GABRIELA_FIGUEROA_SALMORAN_15807.pdf
Poder Legislativo,BERENICE GARCIA HUANTE,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BERENICE_GARCIA_HUANTE_15954.pdf
"Poder Ejecutivo, Poder Legislativo",MARIA CECILIA GUEVARA Y HERRERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_CECILIA_GUEVARA_Y_HERRERA_16105.pdf
Poder Legislativo,GLORIA NAYELI MARTINEZ MENDOZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/GLORIA_NAYELI_MARTINEZ_MENDOZA_16902.pdf
Poder Judicial,BEATRIZ MEJIA RUIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/BEATRIZ_MEJIA_RUIZ_17144.pdf
Poder Legislativo,IXEL MENDOZA ARAGON,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IXEL_MENDOZA_ARAGON_16851.pdf
Poder Legislativo,IRMA JOSEFINA MONTIEL RODRIGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IRMA_JOSEFINA_MONTIEL_RODRIGUEZ_17171.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",NORMA ANGELICA SANDOVAL SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NORMA_ANGELICA_SANDOVAL_SANCHEZ_18204.pdf
Poder Ejecutivo,ARCELIA SANTILLAN CANTU,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ARCELIA_SANTILLAN_CANTU_18238.pdf
Poder Ejecutivo,IXCHEL SIERRA VEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/IXCHEL_SIERRA_VEGA_18284.pdf
Poder Judicial,LAURA TETETLA ROMAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_TETETLA_ROMAN_18406.pdf
Poder Ejecutivo,KAREN IVETTE TORRES HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/KAREN_IVETTE_TORRES_HERNANDEZ_18424.pdf
En Funciones,JOSE LUIS CEBALLOS DAZA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_LUIS_CEBALLOS_DAZA_15409.pdf
Poder Judicial,LUIS DANIEL DELGADO ROLDAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_DANIEL_DELGADO_ROLDAN_15397.pdf
Poder Ejecutivo,HUGO ABELARDO HERRERA SAMANO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/HUGO_ABELARDO_HERRERA_SAMANO_16244.pdf
Poder Legislativo,JOSE ALBERTO MONTES DE OCA SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_ALBERTO_MONTES_DE_OCA_SANCHEZ_17164.pdf
"Poder Ejecutivo, Poder Legislativo",JOSE OLIVEROS RUIZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/JOSE_OLIVEROS_RUIZ_17030.pdf
Poder Judicial,EDGAR EDUARDO QUEZADA JARAMILLO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/EDGAR_EDUARDO_QUEZADA_JARAMILLO_17520.pdf
"En Funciones, Poder Ejecutivo",LUIS ENRIQUE RIVERO CARRERA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LUIS_ENRIQUE_RIVERO_CARRERA_17546.pdf
Poder Legislativo,ERNESTO SANTANA BRACAMONTES,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ERNESTO_SANTANA_BRACAMONTES_18226.pdf
Poder Ejecutivo,NEREIDA BERENICE AVALOS VAZQUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/NEREIDA_BERENICE_AVALOS_VAZQUEZ_14753.pdf
"Poder Ejecutivo, Poder Judicial",ALMA ROSA BAHENA VILLALOBOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALMA_ROSA_BAHENA_VILLALOBOS_14779.pdf
Poder Legislativo,LAURA DANIELLA DURAN CEJA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LAURA_DANIELLA_DURAN_CEJA_15585.pdf
Poder Ejecutivo,CELESTINA ESTRADA VEGA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/CELESTINA_ESTRADA_VEGA_15622.pdf
En Funciones,MARCELA ELENA FERNANDEZ DOMINGUEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARCELA_ELENA_FERNANDEZ_DOMINGUEZ_15787.pdf
Poder Legislativo,MARIA GUADALUPE GONZALEZ JORDAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MARIA_GUADALUPE_GONZALEZ_JORDAN_16074.pdf
Poder Legislativo,PATRICIA GONZALEZ JORDAN,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/PATRICIA_GONZALEZ_JORDAN_16075.pdf
Poder Legislativo,MAYRA ELIZABETH LOPEZ HERNANDEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/MAYRA_ELIZABETH_LOPEZ_HERNANDEZ_16568.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",DENNY MARTINEZ RAMIREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/DENNY_MARTINEZ_RAMIREZ_16733.pdf
Poder Ejecutivo,ADRIANA PEDRAZA TELLEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ADRIANA_PEDRAZA_TELLEZ_17639.pdf
"Poder Ejecutivo, Poder Legislativo",LETICIA VICTORIA TAVIRA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/LETICIA_VICTORIA_TAVIRA_18561.pdf
En Funciones,ALEJANDRO DAVID AVANTE JUAREZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ALEJANDRO_DAVID_AVANTE_JUAREZ_14754.pdf
Poder Judicial,URIEL IVAN CHAVEZ AGUILAR,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/URIEL_IVAN_CHAVEZ_AGUILAR_15208.pdf
Poder Ejecutivo,OMAR HERNANDEZ ESQUIVEL,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/OMAR_HERNANDEZ_ESQUIVEL_16513.pdf
Poder Judicial,FRANCISCO JAVIER JIMENEZ JURADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FRANCISCO_JAVIER_JIMENEZ_JURADO_16483.pdf
Poder Legislativo,AMADO ANDRES LOZANO BAUTISTA,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/AMADO_ANDRES_LOZANO_BAUTISTA_16765.pdf
Poder Legislativo,FERNANDO RAMIREZ BARRIOS,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FERNANDO_RAMIREZ_BARRIOS_17392.pdf
Poder Ejecutivo,RODOLFO TERRAZAS SALGADO,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/RODOLFO_TERRAZAS_SALGADO_18399.pdf
"Poder Ejecutivo, Poder Judicial, Poder Legislativo",ISAIAS TREJO SANCHEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/ISAIAS_TREJO_SANCHEZ_18458.pdf
En Funciones,FABIAN TRINIDAD JIMENEZ,https://candidaturaspoderjudicial.ine.mx/cycc/documentos/ficha/FABIAN_TRINIDAD_JIMENEZ_18466.pdf
